sku,descricao,descricaoComplementar,unidade,ncm,gtin,origem,tipo,marca_id,categoria_id,preco,precoCusto,estoque_controlar,estoque_inicial
PROD0020,Produto Teste 20,Produto Teste 20,UN,73181500,7891234567890,0,simples,PROD0020,PROD0020,2.5,1.1,True,500
PROD0021,Produto Teste 21,Produto Teste 21,UN,73181500,7891234567890,0,simples,PROD0021,PROD0021,2.5,1.1,True,500
PROD0022,Produto Teste 22,Produto Teste 22,UN,73181500,7891234567890,0,simples,PROD0022,PROD0022,2.5,1.1,True,500
PROD0023,Produto Teste 23,Produto Teste 23,UN,73181500,7891234567890,0,simples,PROD0023,PROD0023,2.5,1.1,True,500
PROD0024,Produto Teste 24,Produto Teste 24,UN,73181500,7891234567890,0,simples,PROD0024,PROD0024,2.5,1.1,True,500
PROD0025,Produto Teste 25,Produto Teste 25,UN,73181500,7891234567890,0,simples,PROD0025,PROD0025,2.5,1.1,True,500
PROD0026,Produto Teste 26,Produto Teste 26,UN,73181500,7891234567890,0,simples,PROD0026,PROD0026,2.5,1.1,True,500
PROD0027,Produto Teste 27,Produto Teste 27,UN,73181500,7891234567890,0,simples,PROD0027,PROD0027,2.5,1.1,True,500
PROD0028,Produto Teste 28,Produto Teste 28,UN,73181500,7891234567890,0,simples,PROD0028,PROD0028,2.5,1.1,True,500
PROD0029,Produto Teste 29,Produto Teste 29,UN,73181500,7891234567890,0,simples,PROD0029,PROD0029,2.5,1.1,True,500
PROD0030,Produto Teste 30,Produto Teste 30,UN,73181500,7891234567890,0,simples,PROD0030,PROD0030,2.5,1.1,True,500
PROD0031,Produto Teste 31,Produto Teste 31,UN,73181500,7891234567890,0,simples,PROD0031,PROD0031,2.5,1.1,True,500
PROD0032,Produto Teste 32,Produto Teste 32,UN,73181500,7891234567890,0,simples,PROD0032,PROD0032,2.5,1.1,True,500
PROD0033,Produto Teste 33,Produto Teste 33,UN,73181500,7891234567890,0,simples,PROD0033,PROD0033,2.5,1.1,True,500
PROD0034,Produto Teste 34,Produto Teste 34,UN,73181500,7891234567890,0,simples,PROD0034,PROD0034,2.5,1.1,True,500
PROD0035,Produto Teste 35,Produto Teste 35,UN,73181500,7891234567890,0,simples,PROD0035,PROD0035,2.5,1.1,True,500
PROD0036,Produto Teste 36,Produto Teste 36,UN,73181500,7891234567890,0,simples,PROD0036,PROD0036,2.5,1.1,True,500
PROD0037,Produto Teste 37,Produto Teste 37,UN,73181500,7891234567890,0,simples,PROD0037,PROD0037,2.5,1.1,True,500
PROD0038,Produto Teste 38,Produto Teste 38,UN,73181500,7891234567890,0,simples,PROD0038,PROD0038,2.5,1.1,True,500
PROD0039,Produto Teste 39,Produto Teste 39,UN,73181500,7891234567890,0,simples,PROD0039,PROD0039,2.5,1.1,True,500
PROD0040,Produto Teste 40,Produto Teste 40,UN,73181500,7891234567890,0,simples,PROD0040,PROD0040,2.5,1.1,True,500
PROD0041,Produto Teste 41,Produto Teste 41,UN,73181500,7891234567890,0,simples,PROD0041,PROD0041,2.5,1.1,True,500
PROD0042,Produto Teste 42,Produto Teste 42,UN,73181500,7891234567890,0,simples,PROD0042,PROD0042,2.5,1.1,True,500
PROD0043,Produto Teste 43,Produto Teste 43,UN,73181500,7891234567890,0,simples,PROD0043,PROD0043,2.5,1.1,True,500
PROD0044,Produto Teste 44,Produto Teste 44,UN,73181500,7891234567890,0,simples,PROD0044,PROD0044,2.5,1.1,True,500
PROD0045,Produto Teste 45,Produto Teste 45,UN,73181500,7891234567890,0,simples,PROD0045,PROD0045,2.5,1.1,True,500
PROD0046,Produto Teste 46,Produto Teste 46,UN,73181500,7891234567890,0,simples,PROD0046,PROD0046,2.5,1.1,True,500
PROD0047,Produto Teste 47,Produto Teste 47,UN,73181500,7891234567890,0,simples,PROD0047,PROD0047,2.5,1.1,True,500
PROD0048,Produto Teste 48,Produto Teste 48,UN,73181500,7891234567890,0,simples,PROD0048,PROD0048,2.5,1.1,True,500
PROD0049,Produto Teste 49,Produto Teste 49,UN,73181500,7891234567890,0,simples,PROD0049,PROD0049,2.5,1.1,True,500
PROD0050,Produto Teste 50,Produto Teste 50,UN,73181500,7891234567890,0,simples,PROD0050,PROD0050,2.5,1.1,True,500
PROD0051,Produto Teste 51,Produto Teste 51,UN,73181500,7891234567890,0,simples,PROD0051,PROD0051,2.5,1.1,True,500
PROD0052,Produto Teste 52,Produto Teste 52,UN,73181500,7891234567890,0,simples,PROD0052,PROD0052,2.5,1.1,True,500
PROD0053,Produto Teste 53,Produto Teste 53,UN,73181500,7891234567890,0,simples,PROD0053,PROD0053,2.5,1.1,True,500
PROD0054,Produto Teste 54,Produto Teste 54,UN,73181500,7891234567890,0,simples,PROD0054,PROD0054,2.5,1.1,True,500
PROD0055,Produto Teste 55,Produto Teste 55,UN,73181500,7891234567890,0,simples,PROD0055,PROD0055,2.5,1.1,True,500
PROD0056,Produto Teste 56,Produto Teste 56,UN,73181500,7891234567890,0,simples,PROD0056,PROD0056,2.5,1.1,True,500
PROD0057,Produto Teste 57,Produto Teste 57,UN,73181500,7891234567890,0,simples,PROD0057,PROD0057,2.5,1.1,True,500
PROD0058,Produto Teste 58,Produto Teste 58,UN,73181500,7891234567890,0,simples,PROD0058,PROD0058,2.5,1.1,True,500
PROD0059,Produto Teste 59,Produto Teste 59,UN,73181500,7891234567890,0,simples,PROD0059,PROD0059,2.5,1.1,True,500
PROD0060,Produto Teste 60,Produto Teste 60,UN,73181500,7891234567890,0,simples,PROD0060,PROD0060,2.5,1.1,True,500
PROD0061,Produto Teste 61,Produto Teste 61,UN,73181500,7891234567890,0,simples,PROD0061,PROD0061,2.5,1.1,True,500
PROD0062,Produto Teste 62,Produto Teste 62,UN,73181500,7891234567890,0,simples,PROD0062,PROD0062,2.5,1.1,True,500
PROD0063,Produto Teste 63,Produto Teste 63,UN,73181500,7891234567890,0,simples,PROD0063,PROD0063,2.5,1.1,True,500
PROD0064,Produto Teste 64,Produto Teste 64,UN,73181500,7891234567890,0,simples,PROD0064,PROD0064,2.5,1.1,True,500
PROD0065,Produto Teste 65,Produto Teste 65,UN,73181500,7891234567890,0,simples,PROD0065,PROD0065,2.5,1.1,True,500
PROD0066,Produto Teste 66,Produto Teste 66,UN,73181500,7891234567890,0,simples,PROD0066,PROD0066,2.5,1.1,True,500
PROD0067,Produto Teste 67,Produto Teste 67,UN,73181500,7891234567890,0,simples,PROD0067,PROD0067,2.5,1.1,True,500
PROD0068,Produto Teste 68,Produto Teste 68,UN,73181500,7891234567890,0,simples,PROD0068,PROD0068,2.5,1.1,True,500
PROD0069,Produto Teste 69,Produto Teste 69,UN,73181500,7891234567890,0,simples,PROD0069,PROD0069,2.5,1.1,True,500
PROD0070,Produto Teste 70,Produto Teste 70,UN,73181500,7891234567890,0,simples,PROD0070,PROD0070,2.5,1.1,True,500
PROD0071,Produto Teste 71,Produto Teste 71,UN,73181500,7891234567890,0,simples,PROD0071,PROD0071,2.5,1.1,True,500
PROD0072,Produto Teste 72,Produto Teste 72,UN,73181500,7891234567890,0,simples,PROD0072,PROD0072,2.5,1.1,True,500
PROD0073,Produto Teste 73,Produto Teste 73,UN,73181500,7891234567890,0,simples,PROD0073,PROD0073,2.5,1.1,True,500
PROD0074,Produto Teste 74,Produto Teste 74,UN,73181500,7891234567890,0,simples,PROD0074,PROD0074,2.5,1.1,True,500
PROD0075,Produto Teste 75,Produto Teste 75,UN,73181500,7891234567890,0,simples,PROD0075,PROD0075,2.5,1.1,True,500
PROD0076,Produto Teste 76,Produto Teste 76,UN,73181500,7891234567890,0,simples,PROD0076,PROD0076,2.5,1.1,True,500
PROD0077,Produto Teste 77,Produto Teste 77,UN,73181500,7891234567890,0,simples,PROD0077,PROD0077,2.5,1.1,True,500
PROD0078,Produto Teste 78,Produto Teste 78,UN,73181500,7891234567890,0,simples,PROD0078,PROD0078,2.5,1.1,True,500
PROD0079,Produto Teste 79,Produto Teste 79,UN,73181500,7891234567890,0,simples,PROD0079,PROD0079,2.5,1.1,True,500
PROD0080,Produto Teste 80,Produto Teste 80,UN,73181500,7891234567890,0,simples,PROD0080,PROD0080,2.5,1.1,True,500
PROD0081,Produto Teste 81,Produto Teste 81,UN,73181500,7891234567890,0,simples,PROD0081,PROD0081,2.5,1.1,True,500
PROD0082,Produto Teste 82,Produto Teste 82,UN,73181500,7891234567890,0,simples,PROD0082,PROD0082,2.5,1.1,True,500
PROD0083,Produto Teste 83,Produto Teste 83,UN,73181500,7891234567890,0,simples,PROD0083,PROD0083,2.5,1.1,True,500
PROD0084,Produto Teste 84,Produto Teste 84,UN,73181500,7891234567890,0,simples,PROD0084,PROD0084,2.5,1.1,True,500
PROD0085,Produto Teste 85,Produto Teste 85,UN,73181500,7891234567890,0,simples,PROD0085,PROD0085,2.5,1.1,True,500
PROD0086,Produto Teste 86,Produto Teste 86,UN,73181500,7891234567890,0,simples,PROD0086,PROD0086,2.5,1.1,True,500
PROD0087,Produto Teste 87,Produto Teste 87,UN,73181500,7891234567890,0,simples,PROD0087,PROD0087,2.5,1.1,True,500
PROD0088,Produto Teste 88,Produto Teste 88,UN,73181500,7891234567890,0,simples,PROD0088,PROD0088,2.5,1.1,True,500
PROD0089,Produto Teste 89,Produto Teste 89,UN,73181500,7891234567890,0,simples,PROD0089,PROD0089,2.5,1.1,True,500
PROD0090,Produto Teste 90,Produto Teste 90,UN,73181500,7891234567890,0,simples,PROD0090,PROD0090,2.5,1.1,True,500
PROD0091,Produto Teste 91,Produto Teste 91,UN,73181500,7891234567890,0,simples,PROD0091,PROD0091,2.5,1.1,True,500
PROD0092,Produto Teste 92,Produto Teste 92,UN,73181500,7891234567890,0,simples,PROD0092,PROD0092,2.5,1.1,True,500
PROD0093,Produto Teste 93,Produto Teste 93,UN,73181500,7891234567890,0,simples,PROD0093,PROD0093,2.5,1.1,True,500
PROD0094,Produto Teste 94,Produto Teste 94,UN,73181500,7891234567890,0,simples,PROD0094,PROD0094,2.5,1.1,True,500
PROD0095,Produto Teste 95,Produto Teste 95,UN,73181500,7891234567890,0,simples,PROD0095,PROD0095,2.5,1.1,True,500
PROD0096,Produto Teste 96,Produto Teste 96,UN,73181500,7891234567890,0,simples,PROD0096,PROD0096,2.5,1.1,True,500
PROD0097,Produto Teste 97,Produto Teste 97,UN,73181500,7891234567890,0,simples,PROD0097,PROD0097,2.5,1.1,True,500
PROD0098,Produto Teste 98,Produto Teste 98,UN,73181500,7891234567890,0,simples,PROD0098,PROD0098,2.5,1.1,True,500
PROD0099,Produto Teste 99,Produto Teste 99,UN,73181500,7891234567890,0,simples,PROD0099,PROD0099,2.5,1.1,True,500
PROD0100,Produto Teste 100,Produto Teste 100,UN,73181500,7891234567890,0,simples,PROD0100,PROD0100,2.5,1.1,True,500
